ST_CTY_YEAR,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,,,
45001271895,31.3,43.1,50.8,63.4,67.2,76.9,81,83.3,64.8,66.3,45.9,36.2,,,
45001271896,37.3,45.8,50.6,56.2,63,78.5,88.6,83.5,71.6,63.1,37.5,38.9,,,
45001271897,31.7,40.9,42.4,63.8,75.9,74.9,80.2,88.8,71.2,61.7,42.3,34.1,,,
45001271898,30,45.7,46.8,62.8,69.6,77.5,85.8,88,75.1,58.7,40.8,30.1,,,
45001271899,34.9,33.8,47.8,58.1,64.1,74.6,86.3,73.8,77.4,56.7,51.5,37.8,,,
45001271900,40.6,38.8,56.9,63.2,71.5,80.5,85.8,77.6,71.3,59.1,42.6,40.7,,,
45001271901,33.3,39.2,51.2,58.1,70.2,71.1,83.6,90.5,67.7,70.1,48.7,37.8,,,
45001271902,31.9,42.8,49.7,59,66.8,75.3,79.7,83.5,73.5,65.3,42.8,33.7,,,
45001271903,34.8,37.5,48,58.5,70.1,81.8,81.2,84.1,71.6,64.7,43.5,33.8,,,
45001271904,36.1,39.1,44,64.1,70.2,78.8,86,88.8,79.6,64.4,53.6,37.9,,,
45001271905,35,40.3,55.9,63.4,67.8,74.9,87.6,84.3,75,53.6,47.9,34.4,,,
45001271906,35.3,40.7,49.3,68,69.4,73.7,94.1,85,76.1,63.8,41.4,33.7,,,
45001271907,23.1,38,47.5,59.4,72.7,75.1,85.7,78.1,72.9,70.6,50,38.4,,,
45001271908,36.5,40.9,51.8,64.2,67.5,76.8,88.7,84.7,77.3,60.6,51.3,33.5,,,
45001271909,25.3,42.6,54.9,59.6,67.9,77.1,82.6,85,78,62,46.6,29.8,,,
45001271910,33,34.8,59.1,67.8,76.4,77.8,89.2,82.5,74.4,64.8,45.5,37.7,,,
45001271911,34.9,38.6,57.7,62.4,67.9,78.8,89.1,83.9,70.6,63.2,45,36,,,
45001271912,31,43.4,49.8,61,70.9,80.4,83,79.1,71.6,57.4,46.5,38.6,,,
45001271913,29.4,31.8,46.1,62.4,69.5,77.2,84.7,86.3,76.2,57.7,46.4,34.2,,,
45001271914,40.4,39.1,56,63.9,74,75.8,90.5,88.8,73.3,63.4,46.7,30,,,
45001271915,30.6,46.4,58.3,68.1,68,78.1,85,93.7,74.9,64.9,42.8,37,,,
45001271916,21.9,36,51,61.8,65.5,76.2,81.3,86.9,75.4,62.7,38.6,29.6,,,
45001271917,30.6,36.1,43,54.1,66.7,74.8,89.5,88.7,77.2,66.2,51.4,42,,,
45001271918,37.8,39.7,53.4,64.3,67.8,84.9,87.8,81.2,81.5,64.4,45.2,36.7,,,
45001271919,37.5,38.5,51.8,63.9,70.8,78.1,89.4,87.1,74.4,56.9,42.7,26.2,,,
45001271920,31.4,39.7,50.5,57,67.2,75.7,90.4,86.2,73.4,59.1,46,37.5,,,
45001271921,36.5,41,52.4,58.6,71.8,81,87.1,87,68.5,65.2,44.9,33.3,,,
45001271922,23.6,32.6,46.6,57.4,69.9,86.8,90.8,87.1,80,65.1,39,28.1,,,
45001271923,37.9,32.2,51.8,62.8,70.2,73.8,88.5,87.6,80.1,62.4,48.2,38.8,,,
45001271924,30.6,49.6,51.9,63,80.3,81.3,88.5,84.3,77.4,62.4,40.6,28.9,,,
45001271925,36.1,47.1,54.5,66.1,73.4,81.2,91.8,85.3,74.9,60.9,42.6,39.4,,,
45001271926,32.4,47.5,58.9,69.8,70.5,82.8,91,84.7,67.8,62.3,47,34.5,,,
45001271927,30.4,41.4,49.9,60.2,65.9,78.8,88.6,85.7,67.8,60.9,46.1,31.4,,,
45001271928,30.4,41.2,53.7,58.5,77.9,78.8,90.4,85.4,78.3,61.7,45.6,34.2,,,
45001271929,22.1,28.2,53.8,58.6,72.4,77.1,88.3,90.7,73.3,67.4,46.3,39.2,,,
45001271930,20.3,44.9,55.4,68.1,69.6,77,89.1,88.9,75.5,57.2,42.7,31.3,,,
45001271931,37.3,41.8,51.1,61.8,75.9,76.8,89.9,88.4,74,62.3,41,32.2,,,
45001271932,31.3,37.7,48.7,62.6,69.2,82.1,83.1,84.8,78.6,62.3,48.4,33,,,
45001271933,36.4,30.5,49.8,61.3,64.8,79.4,89.2,87.7,70.7,66.2,46,43.3,,,
45001271934,43.7,50,60.4,71.4,75.5,79.7,87.2,88.4,72.4,63.1,48.5,37.2,,,
45001271935,37.6,43.6,48.4,57.8,72.2,78.7,86.6,84.7,81,61.5,38.7,33.4,,,
45001271936,36.2,25.2,50.2,65.5,77.3,78.8,89.1,87.1,75.8,69,44.5,39.2,,,
45001271937,17.7,35.5,54.3,57.6,72.7,77,89.5,82.3,78.4,66.4,47.6,37.6,,,
45001271938,35.5,39.1,50.7,62.6,72,81.2,91,84.5,84.4,64.2,42.4,38.3,,,
45001271939,39.8,37.5,52.9,65.8,74.6,75.8,89.2,89.6,78.7,63,51.9,43.6,,,
45001271940,34.4,42.6,56.7,62.4,75.7,84.6,87.4,87.2,77.6,64,38.2,38.7,,,
45001271941,35,47.3,59.4,65.4,68.6,75.1,91.3,83.6,67.9,58.6,49,39.9,,,
45001271942,27.6,40.3,53,64.5,66.7,73.8,88.8,89.6,80.4,66.1,41.1,36.2,,,
45001271943,27.3,39.2,48,63.3,66,73.2,89,83.8,82.2,62.5,44,34.8,,,
45001271944,35.2,39.7,50.2,62.5,72.2,78,88.9,84.5,80.5,70.7,42.5,31.7,,,
45001271945,36.6,43.5,48.2,58.8,70.7,76.9,90.9,88.5,72.7,65.8,42.9,34.3,,,
45001271946,38.2,44,51.3,62.4,74,76.3,87.9,87.6,74,56.4,41.6,38.4,,,
45001271947,32,46.4,57,64.1,77.8,76.5,87.2,84.1,75.9,59,43,37.5,,,
45001271948,34.7,38.3,49.2,56.7,64.3,80.3,82.5,82.1,75.6,62.9,44.4,29.2,,,
45001271949,18.4,36.3,51.9,66.4,76,80.2,87.1,86,77.9,58.8,50.3,37.9,,,
45001271950,18,34.9,46.8,57.9,68.8,75.6,88.2,88.4,80.2,57.5,43.8,39.1,,,
