ST_CTY_YEAR,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,
45001281895,17.5,26.5,27.3,34.2,39.9,45.9,51.1,49,40.8,32.2,26.2,22.6,
45001281896,23.6,30.2,26.8,33.1,38.5,46.9,55.6,51.1,42.8,35.2,21.7,28.2,
45001281897,19.7,24.9,24,36,44.5,47.5,49.4,52.1,43.1,34,27.9,22.1,
45001281898,17.8,30.5,26.6,35.3,39.9,47,51.2,55.4,45.2,34.4,26.6,16.6,
45001281899,20.6,18.4,29,34.3,38.6,44.8,51.1,48.7,45.8,35.6,35.3,26.4,
45001281900,25.9,23.4,33.9,36.7,42.2,50,50.5,50.1,44.4,36.7,26.3,30.2,
45001281901,21.2,23.5,31.5,32.5,43,42.7,48.9,52.2,42.6,39,30.8,25.2,
45001281902,19.2,27.7,29.4,33.4,42.6,43.8,49.3,48.4,41.4,37.4,29,23,
45001281903,24.2,17.9,28.2,31.7,39.7,50.7,49.9,51.4,42.8,36.6,29.5,24.8,
45001281904,23.9,24.2,30,37.2,41.1,44.7,54.9,50.9,42.1,37.9,33.8,27.1,
45001281905,25.2,21.4,33.6,36.1,41.1,47.3,53.7,50.2,46.1,32,25.4,24,
45001281906,22.3,29.3,27.9,37.2,41.6,43.9,58.9,49.7,43.9,36.2,27.7,26.3,
45001281907,9.8,25.7,30.2,32.4,41.4,45.3,51.2,47.5,41.8,37,28.8,26.5,
45001281908,23.4,24.4,28.7,33.9,39.1,45.5,53.5,49.7,42.5,36.3,29.5,23.2,
45001281909,11.9,29,30.3,30.9,39.1,47.1,49,46.9,45.2,34.4,32.1,19.3,
45001281910,18.9,18.6,34.7,38.6,42.6,45,51,45.8,43.3,38.2,30.7,27.6,
45001281911,20.4,20.6,29.4,29.7,37.8,47.2,52.1,48,41.9,31.4,23.4,21.4,
45001281912,16.7,28.8,26.5,34.6,41.6,48.3,51.1,48.6,40.6,32.1,31.3,24.9,
45001281913,13,13.8,27.5,35,40.8,48.3,50.7,51.4,40.8,32.4,32,22.2,
45001281914,28.9,25.8,31.6,35.4,41.8,45.5,51.7,49.8,41.8,38,31.1,14.6,
45001281915,18,30.5,33,37,43.4,45.2,51.3,53.4,42.3,36.9,26.7,24.2,
45001281916,4.8,24.1,32,34.8,38.2,44.6,49.8,51,43.9,30.8,22.1,15.8,
45001281917,15.8,23.7,25.1,35.1,42.3,44.2,52.6,52.3,46.7,34.5,31.7,29.4,
45001281918,25.9,24.8,31.8,33.9,38.3,50.4,55.6,50.9,48.8,38.8,27.9,24.6,
45001281919,20.3,26.4,30.7,35.5,40,42.1,51.9,51.6,43.5,30,26.9,11.1,
45001281920,19,24.5,29.9,33,37.2,43.6,54.1,51.5,44.4,35.9,28.1,26.8,
45001281921,24.6,27.2,30.7,33,40,49.3,48.5,51,40.3,35.4,26.2,20.2,
45001281922,7,14.2,27,32.2,38.6,51.9,53.6,53,44.4,35.7,27.4,14,
45001281923,26.2,14.2,28.8,35.5,40.9,48.2,53.9,52.4,45.4,37.5,29,24.9,
45001281924,15.3,32.6,28.3,31.3,43.3,48,52.3,50.3,44.3,35.7,29.1,15,
45001281925,22.6,31.9,30.3,37.6,44,48.8,54.3,50.9,43.4,31.6,25.8,29.9,
